id,name,country,age,premier,bundes,seriea,spain
30572,aaron galindo,Mexico,34,0,1,0,0
23780,aaron hughes,United_Kingdom,36,1,0,0,0
27316,aaron hunt,Germany,30,0,1,0,0
30895,aaron lennon,United_Kingdom,29,1,0,0,0
23889,aaron mokoena,South_Africa,35,1,0,0,0
75489,aaron ramsey,United_Kingdom,25,1,0,0,0
23499,aaron wilbraham,United_Kingdom,36,1,0,0,0
167027,abdelaziz barrada,France,27,0,0,0,1
128456,abdelhamid el kaoutari,France,26,0,0,1,0
42664,abdelkader ghezzal,France,31,0,0,1,1
67334,abdoul karim yoda,France,27,0,0,0,1
39562,abdoulay konko,France,32,0,0,1,1
191784,abdoulaye ba,France,25,0,0,0,1
40005,abdoulaye faye,Senegal,38,1,0,0,0
37280,abdoulaye meite,France,35,1,0,0,0
324910,abdul rahman baba,Ghana,22,1,1,0,0
24385,abel aguilar,Colombia,31,0,0,0,1
29904,abel gomez,Spain,34,0,0,0,1
105548,abel hernandez,Uruguay,26,1,0,1,0
37422,abella perez damia,Spain,34,0,0,0,1
27277,abou diaby,France,30,1,0,0,0
165706,abraham gonzalez,Spain,31,0,0,0,1
213695,abraham minero,Spain,30,0,0,0,1
33715,abraham paz cruz,Spain,37,0,0,0,1
41489,achille coser,Italy,34,0,0,1,0
25571,achille emana,Centre_Region_(Cameroon),34,0,0,0,1
293235,achraf lazaar,Morocco,24,0,0,1,0
41749,adailton,Brazil,39,0,0,1,0
519835,adam armstrong,United_Kingdom,19,1,0,0,0
27534,adam bodzek,Poland,31,0,1,0,0
157303,adam bogdan,Hungary,29,1,0,0,0
23133,adam drury,United_Kingdom,38,1,0,0,0
38617,adam federici,Australia,31,1,0,0,0
281079,adam henley,United_States,22,1,0,0,0
89240,adam hlousek,Czech_Republic,27,0,1,0,0
24159,adam johnson,United_Kingdom,29,1,0,0,0
37234,adam lallana,Hertfordshire,28,1,0,0,0
24952,adam le fondre,United_Kingdom,29,1,0,0,0
500502,adam masina,Morocco,22,0,0,1,0
12245,adam nemec,Slovakia,31,0,1,0,0
73078,adam pinter,Hungary,28,0,0,0,1
160447,adam smith,United_Kingdom,25,1,0,0,0
36774,adam szalai,Hungary,28,0,1,0,0
71359,adam vass,Hungary,28,0,0,1,0
47394,adel taarabt,Morocco,27,1,0,1,0
155738,adem ljajic,Socialist_Federal_Republic_of_Yugoslavia,24,0,0,1,0
37249,adil chihi,Germany,28,0,1,0,0
77741,adil rami,France,30,0,0,1,1
131409,adlene guedioura,France,30,1,0,0,0
132844,admir mehmedi,Macedonia,25,0,1,0,0
