id,name,country,age,premier,bundes,seriea,spain
2752,diego mainz,Spain,33,0,0,0,1
2768,jose dorado,Spain,34,0,0,0,1
2770,ignacio gonzalez,Uruguay,34,0,0,0,1
2790,alberto rey,Spain,42,0,0,0,1
2796,javier jimenez,Spain,29,0,0,0,1
2802,pablo hernandez,Spain,31,1,0,0,1
2805,ruben perez,Spain,27,0,0,0,1
2857,ivan perez,Spain,30,0,0,0,1
2862,vicente sanchez,Uruguay,36,0,1,0,0
2977,david rivas rodriguez,Spain,37,0,0,0,1
2983,jorge molina,Spain,34,0,0,0,1
2984,sergio aragones,Spain,39,0,0,0,1
3316,oscar sanchez,Spain,36,0,0,0,1
3377,luca belingheri,Italy,33,0,0,1,0
3512,peter halmosi,Hungary,37,1,0,0,0
3520,andrey arshavin,Russia,35,1,0,0,0
4902,iriney,Brazil,35,0,0,0,1
5223,raffaele rubino,Italy,38,0,0,1,0
5233,iban javier cuadrado,Spain,37,0,0,0,1
5243,julio alvarez,Venezuela,35,0,0,0,1
5440,marjan petkovic,Germany,37,0,1,0,0
6824,pedro kamata,Angola,35,0,0,1,0
6853,fabian vargas,Colombia,36,0,0,0,1
6864,santiago acasiete,Peru,38,0,0,0,1
6911,fabian canobbio,Uruguay,36,0,0,0,1
8780,marco perez,Spain,26,0,0,0,1
8881,marco padalino,Switzerland,32,0,0,1,0
8922,nikica jelavic,Bosnia and Herzegovina,31,1,0,0,0
8932,dino drpic,Croatia,35,0,1,0,0
9079,mensur mujdza,Croatia,32,0,1,0,0
9124,ivan radeljic,Croatia,36,0,1,0,0
10348,alejandro dominguez,Argentina,35,0,0,0,1
10491,diniyar bilyaletdinov,Russia,31,1,0,0,0
10950,pavel krmas,Czech Republic,36,0,1,0,0
10967,petr jiracek,Czech Republic,30,0,1,0,0
11027,roman hubnik,Czech Republic,32,0,1,0,0
11049,matej krajcik,Czech Republic,38,0,0,1,0
11242,konstantin engel,Kazakhstan,28,0,1,0,0
11263,roman prokoph,Germany,31,0,1,0,0
11496,wade elliott,United Kingdom,37,1,0,0,0
11555,fernando soriano,Spain,37,0,0,0,1
11576,tamir cohen,Israel,32,1,0,0,0
11671,gael genevier,France,34,0,0,1,0
11685,antonio candreva,Italy,29,0,0,1,0
11736,antolin alcaraz,Paraguay,34,1,0,0,1
11758,eliseu,Portugal,32,0,0,0,1
12005,ersen martin,Germany,37,0,0,0,1
12209,tomas kosicky,Slovakia,30,0,0,1,0
12245,adam nemec,Slovakia,31,0,1,0,0
12246,stanislav sestak,Czech Republic,33,0,1,0,0
12330,peter pekarik,Slovakia,29,0,1,0,0
12371,kamil kopunek,Czech Republic,32,0,0,1,0
12454,branko ilic,Slovenia,33,0,0,0,1
12766,cristian sapunaru,Romania,32,0,0,0,1
13033,orestis karnezis,Greece,31,0,0,1,1
13423,marcin wasilewski,Poland,36,1,0,0,0
14533,gal alberman,Israel,33,0,1,0,0
15403,edin dzeko,Bosnia and Herzegovina,30,1,1,1,0
15732,ivan radovanovic,Serbia and Montenegro,28,0,0,1,0
16218,simon vukcevic,Serbia and Montenegro,30,1,0,0,0
16230,milan smiljanic,Sweden,29,0,0,0,1
16300,gojko kacar,Serbia and Montenegro,29,0,1,0,0
16351,aleksandar kolarov,Serbia and Montenegro,30,1,0,1,0
16368,savo pavicevic,Serbia and Montenegro,35,0,1,0,0
16678,anton putsila,Belarus,29,0,1,0,0
17233,zlatko janjic,Bosnia and Herzegovina,30,0,1,0,0
17299,carlos carmona,Spain,29,0,0,0,1
