id,nombre,pais,edad,liga,temporada
32769,paolo cannavaro,Italy,34,seriea,2015
32769,paolo cannavaro,Italy,32,seriea,2013
32769,paolo cannavaro,Italy,29,seriea,2010
32769,paolo cannavaro,Italy,27,seriea,2008
32769,paolo cannavaro,Italy,30,seriea,2011
32769,paolo cannavaro,Italy,33,seriea,2014
32769,paolo cannavaro,Italy,31,seriea,2012
32769,paolo cannavaro,Italy,28,seriea,2009
40962,ibson,Brazil,29,seriea,2013
163843,julio cesar,Brazil,25,spain,2011
163843,julio cesar,Brazil,27,spain,2013
24583,bradley johnson,United Kingdom,24,premier,2011
24583,bradley johnson,United Kingdom,25,premier,2012
24583,bradley johnson,United Kingdom,28,premier,2015
24583,bradley johnson,United Kingdom,26,premier,2013
309726,andrea belotti,Italy,20,seriea,2014
309726,andrea belotti,Italy,21,seriea,2015
24591,ricardo,Spain,36,spain,2008
24591,ricardo,Spain,38,spain,2010
24591,ricardo,Spain,37,spain,2009
32788,joshua kennedy,Australia,26,bundes,2008
279873,molla wague,France,24,seriea,2015
279873,molla wague,France,23,seriea,2014
40985,johannes van den bergh,Germany,27,bundes,2014
40985,johannes van den bergh,Germany,28,bundes,2015
40985,johannes van den bergh,Germany,21,bundes,2008
40985,johannes van den bergh,Germany,25,bundes,2012
40985,johannes van den bergh,Germany,26,bundes,2013
40987,nadir belhadj,France,27,premier,2009
40987,nadir belhadj,France,26,premier,2008
40992,wolfgang hesl,Germany,26,bundes,2012
237602,luka krajnc,Slovenia,18,seriea,2012
237602,luka krajnc,Slovenia,20,seriea,2014
24612,fernando,Spain,29,spain,2008
24612,fernando,Spain,31,spain,2010
24612,fernando,Spain,30,spain,2009
237606,leandro daniel paredes,Argentina,21,seriea,2015
237606,leandro daniel paredes,Argentina,20,seriea,2014
24006,leon osman,United Kingdom,28,premier,2009
24006,leon osman,United Kingdom,33,premier,2014
24006,leon osman,United Kingdom,34,premier,2015
24006,leon osman,United Kingdom,29,premier,2010
24006,leon osman,United Kingdom,31,premier,2012
24006,leon osman,United Kingdom,32,premier,2013
24006,leon osman,United Kingdom,30,premier,2011
24006,leon osman,United Kingdom,27,premier,2008
24622,federico balzaretti,Italy,27,seriea,2009
24622,federico balzaretti,Italy,26,seriea,2008
24622,federico balzaretti,Italy,28,seriea,2010
24622,federico balzaretti,Italy,29,seriea,2011
24622,federico balzaretti,Italy,32,seriea,2014
24622,federico balzaretti,Italy,30,seriea,2012
24622,federico balzaretti,Italy,31,seriea,2013
24624,marcelo zalayeta,Uruguay,30,seriea,2009
24624,marcelo zalayeta,Uruguay,29,seriea,2008
114737,marwin hitz,Switzerland,26,bundes,2013
114737,marwin hitz,Switzerland,22,bundes,2009
114737,marwin hitz,Switzerland,27,bundes,2014
114737,marwin hitz,Switzerland,28,bundes,2015
114737,marwin hitz,Switzerland,23,bundes,2010
114737,marwin hitz,Switzerland,24,bundes,2011
24630,noe pamarot,France,31,spain,2010
24630,noe pamarot,France,29,premier,2008
24630,noe pamarot,France,32,spain,2011
212772,antonio donnarumma,Italy,22,seriea,2012
24632,paul stalteri,Canada,30,bundes,2008
24632,paul stalteri,Canada,31,bundes,2009
24634,radek cerny,Czech Republic,37,premier,2011
288591,riccardo improta,Italy,19,seriea,2013
141576,enda stevens,United Kingdom,22,premier,2012
41023,juan,Brazil,30,seriea,2009
41023,juan,Brazil,32,seriea,2011
41023,juan,Brazil,29,seriea,2008
41023,juan,Brazil,31,seriea,2010
173408,matthew james,United Kingdom,23,premier,2014
281019,alexis rolin,Uruguay,23,seriea,2012
281019,alexis rolin,Uruguay,24,seriea,2013
213061,dominik kaiser,Germany,23,bundes,2011
41034,faton toski,Kosovo,21,bundes,2008
598091,thomas robson,United Kingdom,20,premier,2015
24653,sean davis,United Kingdom,29,premier,2008
24653,sean davis,United Kingdom,30,premier,2009
163918,vasco regini,Italy,24,seriea,2014
163918,vasco regini,Italy,25,seriea,2015
163918,vasco regini,Italy,23,seriea,2013
163919,pedro mba obiang,Spain,21,seriea,2013
163919,pedro mba obiang,Spain,23,premier,2015
163919,pedro mba obiang,Spain,22,seriea,2014
163919,pedro mba obiang,Spain,20,seriea,2012
114769,miguel britos,Uruguay,26,seriea,2011
114769,miguel britos,Uruguay,25,seriea,2010
114769,miguel britos,Uruguay,27,seriea,2012
114769,miguel britos,Uruguay,28,seriea,2013
114769,miguel britos,Uruguay,24,seriea,2009
114769,miguel britos,Uruguay,23,seriea,2008
114769,miguel britos,Uruguay,29,seriea,2014
114769,miguel britos,Uruguay,30,premier,2015
24658,curtis davies,United Kingdom,28,premier,2013
24658,curtis davies,United Kingdom,25,premier,2010
24658,curtis davies,United Kingdom,24,premier,2009
24658,curtis davies,United Kingdom,29,premier,2014
24658,curtis davies,United Kingdom,23,premier,2008
316771,oliver torres,Spain,18,spain,2013
316771,oliver torres,Spain,20,spain,2015
41044,kaka,Italy,30,spain,2012
41044,kaka,Italy,29,spain,2011
41044,kaka,Italy,31,seriea,2013
41044,kaka,Italy,27,spain,2009
41044,kaka,Italy,26,seriea,2008
41044,kaka,Italy,28,spain,2010
41045,samir ujkani,Albania,23,seriea,2011
41045,samir ujkani,Albania,24,seriea,2012
41045,samir ujkani,Albania,26,seriea,2014
24663,jason koumas,United Kingdom,30,premier,2009
24663,jason koumas,United Kingdom,29,premier,2008
24664,jonathan greening,United Kingdom,30,premier,2009
24664,jonathan greening,United Kingdom,31,premier,2010
24664,jonathan greening,United Kingdom,29,premier,2008
155738,adem ljajic,Serbia and Montenegro,22,seriea,2014
155738,adem ljajic,Serbia and Montenegro,19,seriea,2011
155738,adem ljajic,Serbia and Montenegro,17,seriea,2009
155738,adem ljajic,Serbia and Montenegro,21,seriea,2013
155738,adem ljajic,Serbia and Montenegro,18,seriea,2010
155738,adem ljajic,Serbia and Montenegro,20,seriea,2012
155738,adem ljajic,Serbia and Montenegro,23,seriea,2015
680031,pedro chirivella,Spain,18,premier,2015
24676,david edwards,United Kingdom,25,premier,2011
24676,david edwards,United Kingdom,24,premier,2010
24676,david edwards,United Kingdom,23,premier,2009
