"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
27284,35988,39774,33085,30894,38244,30872,38843,95078,30638,32118,25524,36183,27293,37787,37156,30749,30598,39106,38216,33101,30764
36147,27427,27492,128037,28081,27429,34681,49939,30937,27556,31199,27358,79737,71399,36388,27360,43319,36132,30707,27363,31718,27514
37322,27461,68253,27301,30250,30251,27483,27307,35997,25773,30249,27341,30811,27286,NA,25483,27351,27349,39045,34400,30854,39840
30820,30906,30914,30902,37317,19511,30530,27324,38606,39902,27339,26173,42184,97491,38215,23628,30789,36395,36031,33348,38848,39805
27467,27472,26383,27475,30912,27471,38863,41923,41034,37760,27481,24104,25815,45352,30693,37332,36130,13518,16300,31244,25819,36788
36058,37201,36056,27451,27460,27418,27462,24138,36007,47551,30266,27313,35989,41927,28480,27310,30252,30706,26257,27316,30827,37550
33339,16368,NA,33082,33285,39796,40923,36090,38828,26799,37558,42909,39841,27411,40093,38213,147729,36011,36775,78990,35411,36084
36029,36057,26588,27412,39997,36390,14533,29257,NA,71353,31936,30648,34113,36146,27320,38842,34112,34114,43211,30628,27326,40203
37377,29631,37326,36076,37381,37388,36059,38183,34413,NA,32788,31299,27607,39892,17312,43061,39843,33336,36051,30776,30652,12246
25524,30668,37787,27293,33338,34650,30749,39106,30764,30496,33101,30648,37401,36146,27320,38842,34112,34114,42346,30628,27326,27642
35991,41927,35606,28480,27315,30252,30706,36378,27316,30827,37550,27424,27427,27492,128037,43210,27429,34681,34267,49939,27556,31199
24104,27330,30819,45352,37332,29356,16300,27336,31244,25819,36788,27518,30811,25483,35607,115670,27349,27351,36552,39834,39045,23819
30820,31290,34420,30902,37317,19511,30530,27324,39902,30445,15403,78279,38167,36390,27412,NA,14533,NA,29257,26472,40985,31936
