"id","player_api_id","player_name","player_fifa_api_id","birthday","height","weight"
2,155782,"Aaron Cresswell",189615,"1989-12-15 00:00:00",170.18,146
4,30572,"Aaron Galindo",140161,"1982-05-08 00:00:00",182.88,198
5,23780,"Aaron Hughes",17725,"1979-11-08 00:00:00",182.88,154
6,27316,"Aaron Hunt",158138,"1986-09-04 00:00:00",182.88,161
8,30895,"Aaron Lennon",152747,"1987-04-16 00:00:00",165.1,139
11,23889,"Aaron Mokoena",47189,"1980-11-25 00:00:00",182.88,181
14,40719,"Aaron Niguez",183853,"1989-04-26 00:00:00",170.18,143
15,75489,"Aaron Ramsey",186561,"1990-12-26 00:00:00",177.8,154
18,23499,"Aaron Wilbraham",2335,"1979-10-21 00:00:00",190.5,159
21,167027,"Abdelaziz Barrada",192274,"1989-06-19 00:00:00",177.8,161
23,128456,"Abdelhamid El Kaoutari",188145,"1990-03-17 00:00:00",180.34,161
24,42664,"Abdelkader Ghezzal",178063,"1984-12-05 00:00:00",182.88,172
30,41659,"Abderrazak Jadid",149241,"1983-06-01 00:00:00",177.8,157
36,67334,"Abdoul Karim Yoda",188232,"1988-10-25 00:00:00",182.88,161
38,39562,"Abdoulay Konko",161999,"1984-03-09 00:00:00",182.88,157
39,191784,"Abdoulaye Ba",204826,"1991-01-01 00:00:00",198.12,174
44,352887,"Abdoulaye Doucoure",208135,"1993-01-01 00:00:00",182.88,165
45,40005,"Abdoulaye Faye",100329,"1978-02-26 00:00:00",187.96,218
47,37280,"Abdoulaye Meite",41745,"1980-10-06 00:00:00",185.42,181
49,148827,"Abdoulwahid Sissoko",189568,"1990-03-20 00:00:00",182.88,165
54,324910,"Abdul Rahman Baba",209620,"1994-07-02 00:00:00",177.8,154
61,24385,"Abel Aguilar",177974,"1985-01-06 00:00:00",185.42,176
62,29904,"Abel Gomez",111085,"1982-02-20 00:00:00",182.88,165
63,105548,"Abel Hernandez",188484,"1990-08-08 00:00:00",185.42,161
68,37422,"Abella Perez Damia",159580,"1982-04-15 00:00:00",187.96,174
70,27277,"Abou Diaby",163423,"1986-05-11 00:00:00",193.04,168
73,165706,"Abraham Gonzalez",159566,"1985-07-16 00:00:00",177.8,176
76,213695,"Abraham Minero",198840,"1986-02-22 00:00:00",175.26,157
77,33715,"Abraham Paz Cruz",114663,"1979-03-14 00:00:00",177.8,165
78,41489,"Achille Coser",163901,"1982-07-14 00:00:00",185.42,174
79,25571,"Achille Emana",112392,"1982-06-05 00:00:00",180.34,170
82,293235,"Achraf Lazaar",206161,"1992-09-22 00:00:00",182.88,168
85,41749,"Adailton",4769,"1977-01-24 00:00:00",175.26,161
