"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
42390,41930,39210,41869,39201,39190,39197,42579,42645,38762,27657,27691,22355,41378,24792,41878,24854,38938,37541,39393,42041,30284
39599,24414,24412,24403,39763,24391,24405,39222,41326,42091,96509,25735,30474,39731,30918,16351,39444,39334,41629,25594,25597,18506
37503,39714,39274,18823,28907,56992,18816,96534,40865,39706,37520,42702,27660,31214,41882,41760,38368,41757,27680,37767,NA,39495
24454,24440,39721,39702,24443,42003,42581,39286,24436,24448,42582,39510,27678,39441,27785,39509,39360,30920,39525,24516,34531,39502
24503,39729,24504,24013,39719,24459,33888,24502,31725,30881,40165,30717,30861,41412,30736,24791,41888,41890,32937,30725,38827,30727
34530,34534,26099,26098,30870,23688,30731,32751,26096,30743,30729,41243,27701,39440,41874,39203,31499,27703,41749,41861,42433,32749
39351,30996,30453,41023,24130,30682,37545,31938,27694,38717,38822,42042,41666,32769,27668,39535,41887,56585,41658,41350,35421,18925
35644,42388,24793,33414,41667,33706,27702,39534,39539,39533,32748,30989,34305,30930,30716,34304,30460,30724,30905,30696,35724,39349
39323,34319,38943,24492,73845,37525,27661,42944,31304,27686,27690,27558,17836,27565,39185,45244,39428,27598,39701,39200,42387,24456
42422,27669,39643,37515,39357,109298,39644,25818,39232,39540,27734,30713,24493,39423,39419,24622,39207,31288,39367,40601,49677,32747
42422,27669,39643,41318,37515,25818,39644,109298,39232,41542,50047,42702,39314,31214,41882,37526,38368,26852,41757,40601,30549,39495
27691,50074,74009,24792,39229,24854,38938,37541,39393,42041,30284,24503,39621,24013,24504,24536,24502,33888,24459,31725,24549,39311
27697,24484,24793,33414,8881,39533,33706,39534,39539,41862,32748,39204,41488,38943,27721,33413,34319,30940,35641,73845,39752,27686
39510,27678,39441,27785,41865,39360,30920,49940,27663,39557,34531,30989,34305,22984,27692,34304,38239,34942,30460,39349,108808,35724
39425,39422,35112,39191,24622,39367,39207,34540,33337,49677,32747,39477,42008,39721,26315,25479,24436,NA,42003,39286,39638,24448
34530,34534,34952,32752,30870,30721,32751,26096,41044,30743,39447,42042,41666,32769,27668,39535,41887,56585,41658,41661,35421,18925
25735,30474,39731,30918,43341,39444,39334,25594,25597,25598,18506,37503,39273,18823,39274,41387,18816,42901,56992,39706,39267,42696
39566,30861,41412,41884,24791,35643,24132,30871,30725,38827,30727,39351,27693,30453,41023,24130,30682,37545,27695,30747,38717,38822
39599,24414,24412,39696,39763,39222,24405,39538,41326,41411,39474,41243,39440,41242,41874,30285,42433,25595,41811,56593,32749,24848
42390,41930,39210,41869,39201,39190,39622,42579,27599,38762,27657,27558,27566,39726,27565,45244,39428,39744,39200,24457,42387,24456
41243,27701,41874,39440,30285,41749,30136,41811,25595,42433,32749,39351,30996,41023,30453,27693,30747,30682,39376,37545,30714,38717
39204,34319,38943,33413,49543,41488,30940,35641,37525,39752,27686,39425,39422,35112,39419,24622,39367,31288,39207,33337,32747,49677
42042,41666,32769,27668,41661,41887,56585,41658,41350,18925,35421,27697,42388,24793,33414,8881,39533,33706,39534,39539,32748,41862
27558,27566,39726,27565,45244,39428,27598,24457,39200,42387,24456,34530,34534,34952,32752,30870,30721,26096,23688,30743,41044,39447
25735,30474,39731,30918,16351,33687,39334,25594,33544,39332,18506,27691,50074,74009,24792,39229,24854,38938,37541,39393,42664,30284
30989,34305,30492,22984,34304,30460,30930,34942,108808,35724,38239,42422,27669,39643,41318,37515,25818,39644,109298,39232,39540,41542
42702,27660,31214,37526,27684,26852,41757,41760,37767,30549,41413,39510,39441,27785,41501,41865,39557,30920,49940,39360,27663,34531
24503,39621,24504,39304,24536,25772,33888,24507,24453,92666,30881,42390,41930,41536,39208,39201,39190,39622,42579,42645,41269,27657
39477,24440,39721,26315,24443,27731,42003,39286,24409,24448,32750,39566,30736,41412,41884,24791,35643,24132,30871,41892,30727,30712
37503,39273,39274,18823,41387,42901,18816,42035,96534,37520,39706,39599,18923,24412,39696,39763,24391,24405,41404,41326,42091,39474
39425,39422,39191,39419,24622,39207,31288,34540,33337,32747,49677,30989,34305,22984,30492,34304,30460,34942,30930,30905,35724,NA
39351,27693,30453,41023,39410,30747,30682,39376,38822,38717,30714,25735,30474,39731,30918,43341,39444,39334,25594,25597,25598,18506
27697,24484,24793,33414,8881,39533,33706,39534,39539,41862,32748,27558,27566,39726,27565,45244,39428,24457,39744,39200,42387,24456
