"season","home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
"2008/2009",19435,34007,34029,37479,34008,32761,30666,2802,37459,41468,30909,33845,24131,33856,33849,33861,38160,37491,38398,37411,21414,25574
"2008/2009",24591,72541,33865,11778,38521,42369,33870,38424,30907,33641,108809,41466,30279,56678,38458,40599,37436,38746,30958,38362,38551,31020
"2008/2009",33018,111190,37451,41167,34104,37447,30271,33758,31045,37441,34956,30657,30962,25921,30670,28467,37259,32765,25759,30655,30834,34602
"2008/2009",75195,75199,NA,38561,74435,102374,38008,74721,38550,NA,38526,32657,33988,30661,30740,30738,39854,36615,30955,30981,33639,30626
"2008/2009",37579,33896,37581,80497,18664,38403,37512,32999,33892,35638,150644,33986,39562,33812,38138,33848,33991,34000,31014,33992,33989,34106
"2008/2009",38520,74743,75395,74739,74752,33887,78404,NA,74770,24383,41294,34382,37470,32675,37427,37468,52490,37471,30468,37461,37469,37474
"2008/2009",46531,30750,33655,37426,37422,42173,37666,25571,33665,30698,18164,33958,37434,42310,37440,37423,75474,74747,37448,38035,18628,102572
"2008/2009",25563,28439,33768,NA,75196,18592,24099,32766,33872,32764,24852,96623,37597,33022,38065,2790,33820,33586,18395,38431,33729,39142
"2008/2009",33764,33025,33027,33993,NA,96619,33024,37410,30277,33030,NA,96613,74403,74663,18501,37622,37419,75239,5243,38581,46384,75310
"2008/2009",39989,37413,30839,30689,34103,33632,38492,25924,30663,37412,38460,33826,33843,5233,41707,38025,33666,38151,NA,37450,38479,43310
"2008/2009",33986,70255,33812,33990,33848,33991,31014,34000,33992,30443,33989,33958,42310,37440,NA,37423,75398,37448,74747,38035,NA,18628
"2008/2009",37579,33896,33828,80497,41196,35638,37512,32999,33892,38382,150644,33630,74743,75608,33895,74752,33611,33887,97334,74770,24383,34582
"2008/2009",75195,75199,102614,38561,74435,38008,NA,75216,46211,38550,102002,46531,31303,30750,33655,37426,33665,42173,37422,25571,38889,18164
"2008/2009",33018,33756,37451,34104,41167,30271,37449,38573,37441,31045,37446,25563,28439,NA,38385,75196,18592,24099,33773,24852,37429,32764
"2008/2009",74736,72541,11778,33865,72542,26044,42369,38424,33641,30907,37497,39989,33636,30839,30689,34103,33871,25924,33632,38492,30663,37412
"2008/2009",41466,30279,38458,56678,40599,37436,42479,30958,37478,38551,38699,96613,74403,74663,18501,37622,46384,37419,43329,45605,5243,75310
"2008/2009",30657,30962,34520,30670,28467,18814,32765,30840,30878,42714,25759,33826,33843,41707,25913,38479,11758,33666,102612,37450,43310,45744
"2008/2009",32657,33988,30740,37482,30661,33074,36615,39854,30981,33639,30626,96623,37597,37672,38065,2790,33586,33588,33820,75192,33729,39142
"2008/2009",34382,37473,32675,37427,37468,37474,27420,37471,41156,37469,37506,19435,34007,34029,30752,34008,37824,30666,32761,38701,41468,30909
"2008/2009",32678,24131,33849,33856,33861,37491,31498,37631,38398,37411,33028,33764,33025,33993,33027,154938,30287,37410,33866,NA,37408,33030
"2008/2009",46531,31303,30750,33655,37426,42173,33665,37422,25571,38889,38578,37579,33896,33828,80497,41196,37512,32999,35638,150644,33892,38382
"2008/2009",19435,34007,34029,30752,34008,37824,38701,30666,32762,41468,30909,33630,74743,75608,33895,74752,78404,33611,97334,41294,24383,34582
"2008/2009",25563,24137,33768,28439,75196,18592,24099,33773,24852,37429,32764,75195,75199,102614,38561,74435,38008,NA,75216,38550,97226,102002
"2008/2009",30664,33636,30839,30689,34103,33632,25924,38492,30663,38460,37412,33018,33756,37451,150328,41167,30271,37449,38573,37441,31045,37446
"2008/2009",33764,33025,33993,33027,154938,37410,30287,96619,37605,33866,33030,74736,72541,NA,33865,72542,26044,42369,38424,30744,80555,23853
"2008/2009",96613,74403,74404,18501,37622,5243,37419,46384,NA,115229,75310,32678,24131,33849,30276,33861,37631,31498,37491,37411,38398,33028
"2008/2009",33826,33843,5233,25913,38479,33666,102612,11758,43310,37450,45744,41466,33733,38458,56678,40599,37436,38746,30958,37478,38699,38551
"2008/2009",96623,37597,33022,38065,2790,75192,33586,33820,33729,6911,38471,30657,30962,34520,30670,28467,41467,18814,30840,32765,25759,30655
"2008/2009",34382,37473,NA,37427,37468,41156,27420,37471,37461,38044,37469,33986,70255,33812,38138,33848,33991,34000,95509,31014,34106,33989
"2008/2009",33958,37434,37440,NA,37423,75398,37448,42310,38035,102572,NA,32657,33988,30740,37482,30661,154257,36615,39854,30981,33639,30626
"2008/2009",37579,33634,37581,33828,80497,37512,32999,35638,150644,33892,38382,25563,24137,NA,33768,75196,47193,24099,33872,24852,37429,32764
"2008/2009",41466,33733,38458,38824,40599,37436,38746,30958,37478,31020,38699,96623,37597,33022,38065,2790,75192,33586,33820,33729,6911,38471
"2008/2009",32657,33988,30661,37482,NA,26146,36615,39854,96643,33639,26169,34382,37473,32675,37427,37468,41156,27420,37471,37461,37474,37469
"2008/2009",33986,70255,38138,33812,33848,33991,31014,33759,33992,34106,33989,19435,34007,34029,37479,34008,30752,37824,32761,38701,41468,30909
"2008/2009",74736,72541,33865,NA,72542,33870,42369,38424,33641,30744,23853,96613,74403,74404,18501,115229,NA,5243,37419,37622,46384,75310
"2008/2009",33018,33756,34104,150328,41167,37793,37449,38573,37441,31045,37452,33764,33025,33993,37604,154938,30287,37410,96619,37605,33866,33030
